MB,delay,tcp_size,parallel_buffer,N,run,seconds
10240,60,big,50,3,9,15.2973630428
10240,60,big,75,3,1,16.0517301559
10240,60,big,75,3,2,20.020075798
10240,60,big,75,3,3,15.3845748901
10240,60,big,75,3,4,16.2818830013
10240,60,big,75,3,5,16.487347126
10240,60,big,75,3,6,15.2754600048
10240,60,big,75,3,7,16.1547298431
10240,60,big,75,3,8,15.8578081131
10240,60,big,75,3,9,16.5538990498
10240,60,big,100,3,1,16.291105032
10240,60,big,100,3,2,16.007789135
10240,60,big,100,3,3,15.4194729328
10240,60,big,100,3,4,15.8507559299
10240,60,big,100,3,5,15.9164760113
10240,60,big,100,3,6,15.5557291508
10240,60,big,100,3,7,15.1862170696
10240,60,big,100,3,8,15.423956871
10240,60,big,100,3,9,15.427036047
10240,60,big,200,3,1,20.1806240082
10240,60,big,200,3,2,15.3180420399
10240,60,big,200,3,3,15.7834439278
10240,60,big,200,3,4,15.1967761517
10240,60,big,200,3,5,16.2932341099
10240,60,big,200,3,6,16.0544729233
10240,60,big,200,3,7,15.5629649162
10240,60,big,200,3,8,15.9506340027
10240,60,big,200,3,9,16.3608620167
10240,60,big,400,3,1,15.3746740818
10240,60,big,400,3,2,15.7766909599
10240,60,big,400,3,3,16.3672459126
10240,60,big,400,3,4,15.7055361271
10240,60,big,400,3,5,16.2776429653
10240,60,big,400,3,6,18.7096219063
10240,60,big,400,3,7,15.4501678944
10240,60,big,400,3,8,20.0452649593
10240,60,big,400,3,9,18.8072578907
10240,70,big,4,3,1,16.2839150429
10240,70,big,4,3,2,16.3835878372
10240,70,big,4,3,3,16.2687990665
10240,70,big,4,3,4,21.6536428928
10240,70,big,4,3,5,20.1875619888
10240,70,big,4,3,6,16.8086550236
10240,70,big,4,3,7,16.512004137
10240,70,big,4,3,8,26.343611002
10240,70,big,4,3,9,16.2463080883
10240,70,big,10,3,1,16.533105135
10240,70,big,10,3,2,21.542057991
10240,70,big,10,3,3,16.4787828922
10240,70,big,10,3,4,16.5030200481
10240,70,big,10,3,5,16.3576350212
10240,70,big,10,3,6,16.7386848927
10240,70,big,10,3,7,16.5771870613
10240,70,big,10,3,8,16.7305538654
10240,70,big,10,3,9,16.4769580364
10240,70,big,25,3,1,17.029613018
10240,70,big,25,3,2,17.1077408791
10240,70,big,25,3,3,17.0895321369
10240,70,big,25,3,4,17.192332983
10240,70,big,25,3,5,17.2716810703
10240,70,big,25,3,6,17.1272940636
10240,70,big,25,3,7,22.5215799809
10240,70,big,25,3,8,17.295249939
10240,70,big,25,3,9,17.1458010674
10240,70,big,50,3,1,18.2491629124
10240,70,big,50,3,2,17.4218051434
10240,70,big,50,3,3,17.9805390835
10240,70,big,50,3,4,17.6698970795
10240,70,big,50,3,5,17.7551119328
10240,70,big,50,3,6,18.167910099
10240,70,big,50,3,7,17.6633379459
10240,70,big,50,3,8,17.4535050392
10240,70,big,50,3,9,17.5096011162
10240,70,big,75,3,1,18.2169640064
10240,70,big,75,3,2,18.3032329082
10240,70,big,75,3,3,17.2624468803
10240,70,big,75,3,4,18.1795940399
10240,70,big,75,3,5,17.9847540855
10240,70,big,75,3,6,22.680341959
10240,70,big,75,3,7,17.9705331326
10240,70,big,75,3,8,17.3803939819
10240,70,big,75,3,9,17.3015139103
10240,70,big,100,3,1,18.208272934
10240,70,big,100,3,2,17.93638587
10240,70,big,100,3,3,17.409870863
10240,70,big,100,3,4,17.8899190426
10240,70,big,100,3,5,17.5841290951
10240,70,big,100,3,6,17.7311811447
10240,70,big,100,3,7,18.2046830654
10240,70,big,100,3,8,17.8010840416
10240,70,big,100,3,9,22.5930049419
10240,70,big,200,3,1,17.3411390781
10240,70,big,200,3,2,18.2831790447
10240,70,big,200,3,3,19.4804940224
10240,70,big,200,3,4,17.2613229752
10240,70,big,200,3,5,17.7677359581
10240,70,big,200,3,6,17.7927858829
10240,70,big,200,3,7,17.3078408241
10240,70,big,200,3,8,17.6733870506
10240,70,big,200,3,9,17.3267569542
10240,70,big,400,3,1,18.1465280056
10240,70,big,400,3,2,18.0959877968
10240,70,big,400,3,3,18.2328429222
10240,70,big,400,3,4,17.3644108772
10240,70,big,400,3,5,17.3224160671
10240,70,big,400,3,6,18.0886600018
10240,70,big,400,3,7,17.3974649906
10240,70,big,400,3,8,17.4020760059
